test_set_index,original_csv_index,prompt,url,rater,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
317,4524,"parallelogram with base 8 units and height 3 units, clearly marked",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ok3UO1sQo2OWV1ltui8cyz4c3Lp2Io.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
319,1415,"box plot, no labels, no indicators, clean minimal design",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tmzNZQxCcRmcNZk41IqbokKd6MeNu6.svg,B,Yes,No,N/A,No,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
320,1224,large net showing 2 triangles and 3 rectangles arranged horizontally with triangles above and below,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YT8TwPdh68soOHzTKKDL4DdT00KAnP.svg,B,Yes,No,Yes,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
321,2390,area scaling visual showing square 2x2 area 4 and square 4x4 area 16,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-quyAB80PiaD8AuLHewk1YBMAuD7hGL.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
323,2122,"histogram, data ranges: 10-19(4), 20-29(8), 30-39(12), 40-49(6), 50-59(2)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8uUYfns45xd91TYF642Si5pKBO1Bbk.svg,B,No,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
326,1309,"rectangular prism, 8 cm length, 5 cm width, 3 cm height, with dimensions labeled",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YQexMuEK42yVGyirIh5k5GsBcPuuuz.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,No,Yes,Yes,No,No,Yes
328,4126,3d figure with bottom rectangular base 5 by 4 by 2 and smaller top section 3 by 4 by 3,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qiyp4LEHrW6OevNW2kZYmF9uooS3WS.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,No,N/A,No
329,1141,"number line, 0 to 1, divided into sixths with tick marks",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-bU3QxPSDhKMOQeCf1FQYAHysPB8YU8.svg,B,Yes,No,Yes,No,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
330,3432,"number line, 0 to 1, show fifths",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tFROx8BY2LQ9rD9eu8IjNq4vz8ghQc.svg,B,Yes,N/A,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
331,2888,"construction of equilateral triangle using two intersecting circles, mark all intersection points",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xzqq6pK8eaNfY1qxtUtSBVwmmw5XRe.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
334,4735,"coordinate plane, point A(3,1) and its 90° clockwise rotation A'(1,-3) and 90° counterclockwise rotation A''(-1,3) about origin",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-27jdrVlQK9YIQeR4q5bMWanphH5c4N.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
335,3128,number line 0 to 20 with arrow from 12 to 20,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HKJRjxISmx4OKAWiwH9saPrFEPI0xv.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,Yes
337,3766,"quantity card, 3 dogs in a row",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UyXMdQzrsdcEjMhqHzf6kB1luODgr7.svg,B,Yes,N/A,N/A,N/A,,No,N/A,N/A,No,Yes,N/A,N/A,N/A
338,2752,"number line, 0 to 20, show 18 + 2 = 20",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VdjsnZdxcQLtUgclsxEfmqZPjdGSe6.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,No
340,1932,circle divided into 3 equal parts with 1 part shaded,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-zdoPxmfO8wh8qBqGIpkSudJM8CVxyX.svg,B,Yes,No,N/A,No,,No,Yes,N/A,No,Yes,Yes,N/A,N/A
341,3513,Ten frame with 7 yellow dots and 3 empty spaces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-20lit3afM0qJDqtzwSv1Y6LWcRxBdr.svg,B,Yes,No,N/A,No,,Yes,Yes,N/A,N/A,Yes,N/A,N/A,N/A
342,4039,"base 10 blocks, 4 + 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-H4bbkpHzQ3rnFewxSPNBfGMVdIYLXl.svg,B,Yes,N/A,N/A,N/A,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
343,1519,"area model, 1 1/4 x 4, show unit squares with grid lines, no equation labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cDYNdcsrFYKi6Z3eIOADbD5G50tcZu.svg,B,Yes,No,N/A,No,,No,No,N/A,No,No,No,N/A,No
346,3611,"rectangular prism with transparent outline 4x5x3, showing 2 complete layers of cubes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-o9VSFFLTXewXAPs1fCWHBOTsRTlyBM.svg,B,Yes,N/A,N/A,No,,No,No,N/A,No,Yes,Yes,N/A,N/A
348,537,"3D rectangular prism figure, bottom prism 6×4×3 units, top prism 3×4×2 units sitting on left half",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NrbFRF7rk44hdSMOZ9Dn1BxrEzy0ju.svg,B,Yes,No,No,No,,Yes,No,N/A,No,No,No,N/A,No
353,2291,complex polygon (hexagon) decomposed into triangles,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-WcnQ2gLOOPwZM1lW44FG9JEnWFRK7p.svg,B,Yes,N/A,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
355,1679,two parallel lines with translation showing they remain parallel,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-wZ3zqgL9IStfkN5L2NpK3LrsDBVaVu.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
357,4973,simple visual showing final step with number 9 in a circle and text 'people were surveyed',https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FfldyDlQDrxEIdVeDxzgcaKimiqHh6.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes
358,2118,"dot plot, data points at 72, 74, 75, 76, 77, 78, 78, 79, 80, 82, title Class Test Scores - Set 1A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7Rr20TAAtwhVuu7jJb9gvypMKLfgL7.svg,B,Yes,N/A,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
361,281,"coordinate plane, house shape and upside down house shape, mirror images across horizontal dashed line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KXzk2vlDM8HyJBgSrObkJ5wm7alzSx.svg,B,Yes,Yes,Yes,Yes,,No,No,Yes,No,Yes,No,N/A,No
362,1400,"two parallel lines cut by a transversal, label angles a, b, c, d showing alternate interior angles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4HhU1cTRTy9FUUSc7ovVnAztW29GXE.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,No,No
363,3647,one orange and one grape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-E6n4JsxrZpTIUuNLNOmlaMmMUNE5f6.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
367,3015,"tape diagram, stickers 15, partial rectangle for pencils 9",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-E3ERpfhvhTXjowTbIkFdkp49zO9peY.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
369,672,"probability scale from 0 to 1, mark positions at 0, 1/4, 1/2, 3/4, and 1",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-3YY0q6eNqr4oldsvQhhPVgBNAuQrdu.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
370,4797,"number line, 0 to 1, show 2/4 and 1/2 equivalent fractions",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YFmVp6QlaMP8cBi4B8bVwS7uaRrgQp.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
371,4903,rectangular prism 3D shape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-56Zm6tAJYLTji6evUFeSK1dNpq5GRw.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
373,853,"composite figure, two rectangular prisms side by side with different heights",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0jljHkTwOVUYYTbPNO6k5rms54KT0d.svg,B,Yes,No,N/A,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
377,2354,"partially tiled rectangle, 9 rows by 10 columns, row 1 completely tiled with 10 squares, row 2 has 4 squares shown, row 3 has 3 squares shown, row 4 has 2 squares shown, rows 5 through 9 each have 1 square shown",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-h60DLjLvokWM80hYREWh2Y4Kusmdh2.svg,B,Yes,No,N/A,N/A,,No,No,N/A,No,No,N/A,N/A,N/A
379,4057,"parallelogram with base 7 cm and height 4 cm, clearly labeled with measurements",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-IA9sLWxnucK6tIQK9nwReMFlwUKbNA.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,No,Yes
380,1190,two similar but different smartphones,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VD7LIUu6zaglsCh8RqIo00AJckDSak.svg,B,Yes,No,N/A,No,,No,No,N/A,No,No,N/A,N/A,N/A
383,1131,"parallel lines cut by transversal, angles labeled 1, 2, 3, 4, 5, 6, 7, 8",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-myL3xfuuhduOj2oMSB4b21X0XC23Ek.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,No,Yes
385,4568,rectangle 3 by 4 units on grid,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ban5v3AfIn172YNALMEBzWgJGPJcD6.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,No
386,3194,"angle measuring (2x + 10)° next to angle measuring (3x - 5)°, forming 90°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YD0LJ0tgwA1BX78qc4G9fXrhCw6Y6J.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Yes,Yes
387,745,"dots arranged in corners of a square, 4 dots",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-a1AWq4YNEu3LzRwI8Vsb0hPr4i4sMn.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
389,3920,4 groups of 3 stars each,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uprQcf5l885TMnKFnJmSnnD3vY4QsC.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,No,Yes,N/A,N/A
390,849,"fraction strips, show 3/5 and 6/10 for comparison",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UhGGsopuC81cKRyGKpuguV9uvNkxgX.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
392,2466,"rectangular prism figure made of two prisms, larger prism 6×4×3, smaller prism 2×4×3 on top",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-5x2JQu6hvVIgLT1PUMdDRvUoxyIsia.svg,B,Yes,N/A,No,No,,Yes,No,N/A,No,Yes,No,N/A,No
394,2684,"coordinate plane, line through origin and point (1,37.5), unlabeled axes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vBTMcsT8yyRBAdR68gaLNn8UHsFcZo.svg,B,Yes,N/A,Yes,No,,Yes,N/A,Yes,No,No,N/A,Yes,No
396,4691,hexagonal prism with its net showing 2 hexagonal faces and 6 rectangular faces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-q7LuiSt2PiKKVmUb9hX20qfafHmHK8.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,No,Yes,Yes
397,3888,empty grid template 6x4 for students to draw rectangles,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mnf5RVmDw3vns4rM5Xjpk2ktcdIMUJ.svg,B,Yes,No,No,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
399,2596,scale factor card showing '1' with blue border and text 'Stays SAME',https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NIY8hwGLg9036UJ24xOgpBhdvvLtXK.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
400,4176,"3d figure made of two rectangular prisms, bottom rectangular base 6 by 4 by 2, smaller rectangular prism 3 by 4 by 1 on top right corner",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-iOorjFN3xHPkRXgfTSfYGyyK8HiTSv.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,No,N/A,No
402,4536,"coordinate plane, quadrilateral with vertices at (-1,2), (1,3), (2,1), (0,0), point R at (3,2)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OsAY5xxK3bNXNnKTuO4vU56ITbyW5m.svg,B,No,Yes,No,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
406,343,"rectangular prism made of unit cubes, L-shaped structure with 12 cubes: 2x3x2 main block connected to 2x1x2 extension",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6Ab96tI7OEWcT6dtoSyvG6wO3A4MuO.svg,B,Yes,No,N/A,No,,No,No,N/A,No,No,No,N/A,No
409,4394,"coordinate plane, parallelogram with vertices D(0,1), E(4,1), F(6,4), G(2,4)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1wCLtqBgWILbriD3VgI5AItaJjjnfX.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
410,2548,"regular pentagon with vertices labeled A, B, C, D, E clockwise starting from top",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uiYSO4PG5XxY4AUsUzrM3dOSI21Qsk.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
412,3013,"coordinate plane, shadow triangles at different times",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-77ri4vt5M7bC2UtvE58Q1C0bb9Sj6K.svg,B,Yes,No,Yes,Yes,,Yes,No,No,Yes,No,No,No,No
413,765,"dots arranged randomly, 2 dots",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uhvcruKnV5zEP0PQdRbNnFvPUOTctv.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
415,3406,"picture graph showing favorite fruits: apples 6, bananas 4, oranges 3, grapes 5, with fruit symbols",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1mDzgANibOahuVa4CtEKO4rFQT6AL4.svg,B,No,No,Yes,Yes,,Yes,No,N/A,No,No,No,Yes,No
416,985,"coordinate plane, rectangle above horizontal dashed line and rectangle below horizontal dashed line, mirror images",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Kutz0pDL4flaZKbAyoqf115osZN3kG.svg,B,Yes,No,Yes,Yes,,No,No,Yes,No,Yes,N/A,Yes,Yes
417,4080,"step-shaped figure made of 2 rectangular prisms with different proportions, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NF6xmCNuVFj8fxpY4zvxdkLzyYL6Sy.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
420,2258,right triangle on grid showing area of 15 square units,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-i0f6ifflP9FwTKwK0oRMecmWSAAIwS.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
423,4955,"grid, rectangle in original position only",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qbNnJsv5PX3Nd9ictjLWu9cpWcm8cX.svg,B,Yes,Yes,Yes,Yes,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
426,3182,"coordinate plane, rectangle 4 by 6 with triangle cut out",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jC2ExQcLplNoLOzUNIckg43u9k78vi.svg,B,No,No,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,N/A,Yes
427,2254,"number line, 0 to 1, marked in fourths, point at 1/4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-AUjkgye37asCshrGKVgvYqgLMinlIq.svg,B,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
431,823,"stepped figure made of rectangular prisms, some going up and some going down",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-co4E5E74nNZA2AaFf2BZTFXpSIalr3.svg,B,Yes,N/A,N/A,No,,Yes,No,N/A,No,Yes,No,N/A,N/A
432,4837,"Hispanic heritage flags arranged in a festive banner style: Mexico, Colombia, Puerto Rico, Dominican Republic, Spain, Argentina, Peru, Cuba, Guatemala, Ecuador, Honduras, Nicaragua, Panama, Uruguay, Bolivia, Costa Rica, Venezuela, Paraguay, El Salvador",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6uZ9E0eQCcDbb7L3l192pXKeevjPHQ.svg,B,Yes,N/A,N/A,No,,No,No,N/A,No,No,N/A,N/A,No
433,1729,"rectangular prism with corner cut out, 10 by 8 by 3 units, 4 by 3 by 3 corner removed",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JjI6jpCqP3RWRyP30OIp9aCAm8Za5R.svg,B,Yes,No,N/A,Yes,,No,No,N/A,No,No,N/A,N/A,No
435,68,"coordinate plane, rectangle A at (0,0), (4,0), (4,2), (0,2) and rectangle B at (0,0), (0,4), (-2,4), (-2,0), show both rectangles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ezZ0VeGZ8ueVtUu8YSw0HgRqhUJtLY.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
436,2730,"coordinate plane, triangle with vertices at (1, 2), (3, 4), (5, 1) and triangle with vertices at (-3, -4), (-1, -2), (-5, -1)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-biQDqEJSPCrQVbsbugSliNSMolrzKU.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
438,2874,rectangular prism showing different base orientations,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qD4g16QCoJMJZqf0yOdS5Eq8pcekWS.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
441,4865,"rectangular prism, 4 by 3 by 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Qat2dVIbERCSEsKurTculxnQ9OS6PD.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
442,3764,card with 2 cats side by side,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YTHzOqQUyx3h9uhDW5zTIgkgMdfrYP.svg,B,No,No,N/A,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
443,3581,"dot plot, 2 3 4 4 5 5 5 6 7 15",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-rX6IulLSPTV4IfuBjRll33GMOHDYB9.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
445,3997,"parallel line construction, showing two perpendicular steps",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-fpbYrv7pLloQAMpJok5XBdCesGYZKx.svg,B,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
448,3781,"pentagonal prism net, pentagon base, rectangular sides 4 cm height",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-lwgYhGjY5AI1VTEJacVpOatI1tPnJ7.svg,B,Yes,No,Yes,Yes,,No,No,No,No,No,Yes,No,No
449,3424,"staircase blocks, level 2 with 7 blocks arranged in stair pattern",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZqbP76PesHuv7OyVHJDSp49tTDfnBy.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
