test_set_index,original_csv_index,prompt,url,is_shared,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
311,4727,"coordinate plane, point K(4,-2) reflected over x-axis to K'(4,2) and over y-axis to K''(-4,-2)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QAX11UdZaXf3f7uOiaTM8lro5JAmdK.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
313,3736,"square pyramid net, 6 ft base 5 ft slant height",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-5opijvp0t5Z0SnqvaElwWljfjuwYaf.svg,False,Yes,Yes,Yes,Yes,,Yes,No,No,No,No,No,No,No
316,2814,"right triangle, hypotenuse p, angle R = 52 degrees, sides labeled m and n",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HuaTdKIhNynfZ1M1Q60EyvQzLrGFLq.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,No,Yes
318,1095,coordinate plane showing scale drawing of rectangle with scale 1:2,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kR26guNgWDPbhXm0ijuGCgKXMBErQC.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
322,1087,"coordinate plane, geometric sequence points at (1,2), (2,6), (3,18), (4,54), (5,162)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-12iBM07B2mJj87W7JaGrLcLc0oWIZR.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,No,Yes
324,1477,"coordinate plane, two quadrilaterals with different side lengths, show one quadrilateral at (2,3) (4,5) (6,4) (4,2) and another at (8,3) (10,6) (12,4) (9,1), label as Figure X and Figure Y",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JHkSDN7i9a7AiuRPUjQCSCoAxZgDrd.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes
325,863,"fraction strips, show 1 whole, 1/2 and 2/4, 1/3 and 2/6, 1/4 and 2/8, aligned vertically",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-abNg6u0oPl0bPwlzRPmqSD306tM1qX.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,No,No,Yes
327,1641,"coordinate plane, line through origin passing through (2,8), axes labeled x and y, grid lines, clean design",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DUKH91JpRP75rLIk79eMsdh4VRinDT.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,No
330,3432,"number line, 0 to 1, show fifths",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tFROx8BY2LQ9rD9eu8IjNq4vz8ghQc.svg,True,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
331,2888,"construction of equilateral triangle using two intersecting circles, mark all intersection points",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xzqq6pK8eaNfY1qxtUtSBVwmmw5XRe.svg,True,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
332,951,net diagram of a square pyramid with square base 6x6 and triangular faces with base 6 and height 5,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QSu7qIzV7NJRRwRxk4nl26XqY4NMqR.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
333,463,"coordinate plane, triangle ABC with vertices at A(1,2), B(3,4), C(2,5), and its translated image A'(5,3), B'(7,5), C'(6,6)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8sa7zxFGMIZKocO9L8xJFXPxZae0iz.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
336,3667,"coordinate grid with triangle PQR where P is at (2,1), Q is at (5,3), R is at (4,5), and point Q' at (8,6), and a vertical line m at x=7",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-sAnbgJM0wFlJRXuLhVNKtcO7389Ite.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
339,2682,"coordinate plane, line through origin and point (1,3.75), unlabeled axes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SZZUvlBy7DI3APMqp1v6Zm6biVbXKP.svg,False,Yes,No,Yes,Yes,,No,No,Yes,No,No,N/A,Yes,No
343,1519,"area model, 1 1/4 x 4, show unit squares with grid lines, no equation labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cDYNdcsrFYKi6Z3eIOADbD5G50tcZu.svg,True,Yes,Yes,No,No,,No,No,N/A,No,No,No,N/A,No
344,4430,"grid, L-shaped shaded figure",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QT1axd1iwimU6AezIMoHefCYUhjsd6.svg,False,Yes,Yes,,,,Yes,Yes,N/A,N/A,Yes,Yes,N/A,N/A
345,3775,"quantity card, 2 cats side by side",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6MfaczTuLpOpFbPF0P5GFnRp2F8QfH.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
347,4546,square pyramid net with square base 4cm and triangular faces height 7cm,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Tz73oE0vbNqi56UxlWoPLKmTtQ2bwZ.svg,False,Yes,No,,,,Yes,No,N/A,No,Yes,No,N/A,No
348,537,"3D rectangular prism figure, bottom prism 6×4×3 units, top prism 3×4×2 units sitting on left half",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NrbFRF7rk44hdSMOZ9Dn1BxrEzy0ju.svg,True,Yes,Yes,No,No,,Yes,No,N/A,No,No,No,N/A,No
349,4528,triangular pyramid net in cross layout with triangle in center and 3 triangular faces extending from each edge like rectangular pyramid pattern,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZCyFS3krussg11zQiFaJtX7SCx5mX1.svg,False,Yes,Yes,,,,No,No,N/A,No,Yes,N/A,N/A,N/A
350,721,volume formula V = l × w × h with rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vTBACtnrE9NwykG5XhLEKKZeNuhF2f.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
351,3535,"base 10 blocks, 5 + 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vGScAHORdezdsISQ4P18GOov4CM4GS.svg,False,Yes,Yes,,No,,No,N/A,N/A,No,Yes,N/A,N/A,Yes
352,3479,"rectangular prism net on grid paper, 6 by 4 by 3 units, each unit square clearly visible for counting",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jOBof1IMs78MKM9POXWy815cjLorlV.svg,False,Yes,Yes,,,,No,No,N/A,No,No,Yes,N/A,No
354,399,"rectangular prism made of unit cubes, 3 layers, 4 cubes per layer",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-LZ7AZOMY0qWuFyVvd0uX5jdDFwcqxb.svg,False,Yes,Yes,,,,No,No,N/A,No,Yes,N/A,N/A,No
355,1679,two parallel lines with translation showing they remain parallel,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-wZ3zqgL9IStfkN5L2NpK3LrsDBVaVu.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
356,3454,"bimodal distribution dot plot, two peaks",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-rHSWsW3QOJdQZ23E7O9VvcIp60l4u6.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes
359,379,"coordinate plane showing reflection over y-axis, point (2,3) to (-2,3) with dashed y-axis line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ezRNLARwWLHtXiytItm9SeBSVGK5pZ.svg,False,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
360,1793,"fraction circles, 3/8 shaded",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-in4Lh7B3pmiGRxKH2ohSkbYjv4a1c6.svg,False,Yes,Yes,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
361,281,"coordinate plane, house shape and upside down house shape, mirror images across horizontal dashed line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KXzk2vlDM8HyJBgSrObkJ5wm7alzSx.svg,True,Yes,Yes,Yes,Yes,,No,No,Yes,No,Yes,No,N/A,No
364,48,grid paper template for drawing rectangular prisms,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-wcvHUzJwcwYConFuApooeKWF61SJHj.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,No,N/A,Yes,No
365,813,"number line, 0 to 1, show fifths and tenths markings with 3/5 and 6/10 labeled at same position",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DYHkScXwF5AB2wGX6oZzm1VI69rQt5.svg,False,Yes,No,Yes,Yes,,No,No,Yes,No,Yes,No,Yes,Yes
366,3531,"base 10 blocks, 6 - 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-WQgdBFUX18ZiSpBwxhf3ISURsusvaN.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
368,2592,station sign for 'Station 2: Make It Smaller' with red background,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HnHYAi6r8EebpOLE2Pm5H2NNvD3XxX.svg,False,Yes,No,No,No,,Yes,N/A,N/A,Yes,Yes,N/A,N/A,Yes
371,4903,rectangular prism 3D shape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-56Zm6tAJYLTji6evUFeSK1dNpq5GRw.svg,True,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
372,1147,"fraction strips, halves thirds fourths sixths eighths tenths twelfths, clearly labeled",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FbqAsmbjBmMnRnYDluwP6qAeo4Sjbs.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
374,2212,proportion setup diagram showing fraction template with labels 'drawing length over actual length equals drawing length over actual length',https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-75HNnLXC4GfGKQwAERR0m84pHKYEkY.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
375,3910,coordinate plane showing polynomial with clear turning points and intercepts for classification activity,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Lb2CbmhKaDG6mWGesWSacwaMQNVKjF.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No
376,1408,"base 10 blocks, 10 red counters in a row",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-X7zL0mDkrlwbwrEdvLNxfdM58NO0KY.svg,False,Yes,Yes,,,,No,No,N/A,No,No,N/A,N/A,No
378,1575,"area model, 2 1/2 x 3 1/2, show unit squares with grid lines",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vUWTWgWl9rML1A2uHkLGWC8UQegWqu.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,No,No,Yes,No
381,2934,visual showing person walking 500 feet vs person walking 500 yards with distance comparison,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DjqlE0Kh3pWHqiVhzbb2kN9T2UYLQo.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
382,1441,"coordinate plane showing proportional relationship, y = 4x, with points plotted at (1,4), (2,8), (3,12)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-r9Aun42QBMvgUyBT5NFEFFhME3QF7K.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
384,3631,one toy car and one airplane,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RhrWTnriQmjxA4iKBjQMrKwQm9E24Y.svg,False,Yes,Yes,,,,No,No,N/A,No,No,N/A,N/A,N/A
388,3834,"dot plot showing symmetric distribution, values from 1 to 9, most data at center",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-t5HAkkee9hVgZarGSTXsAiNUzN4fHD.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
390,849,"fraction strips, show 3/5 and 6/10 for comparison",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UhGGsopuC81cKRyGKpuguV9uvNkxgX.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
391,3334,two identical triangles being composed into a rectangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QwohVy47YfSgkL6Ld8G3KekbTvST72.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
393,497,"place value chart showing hundreds, tens, ones columns with the number 582",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-hj8yGY0ZwTaeNXiIo2igXHrlwneXVA.svg,False,Yes,Yes,,,,No,No,N/A,No,No,N/A,N/A,No
395,2256,"number line, 0 to 1, marked in thirds, point at 2/3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1s6xQDriEsyQaD2B1oClcSpJOyoIdu.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
398,1994,"fraction bars, 1/3 and 2/6 equivalent",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-W9OyxXfCSTzentdwbq6JK1UtvqJ9pn.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
399,2596,scale factor card showing '1' with blue border and text 'Stays SAME',https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NIY8hwGLg9036UJ24xOgpBhdvvLtXK.svg,True,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
401,3950,"dot plot, strongly skewed right, peak at 1, long tail extending to 15",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YBPKElxeHHAhBPdgyYTp7DulbGhIeX.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
403,4420,line segment for equilateral triangle construction,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gV6wNilvg91jbjb8MkiyGF9NyTnBMu.svg,False,Yes,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes
404,2962,"coordinate plane grid, -8 to 8 on both axes, with grid lines",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tlkA4G3yOXbGOXoCNXPH68FyjrqkDH.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,No,Yes,Yes,Yes
405,3597,"histogram, 0-2 hours: 5 students, 2-4 hours: 12 students, 4-6 hours: 18 students, 6-8 hours: 10 students, 8-10 hours: 3 students, study time distribution",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JtJVJx75TZln3ILqUs3xuX9oOug0tI.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
407,789,"scale factor reference chart showing three sections: scale factor greater than 1 with enlarged square, scale factor equal to 1 with same size square, scale factor less than 1 with smaller square",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CvKE2oEAQdEQJ7fFr1FySOQ6BXraor.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
408,3398,"grid, rectangle 6x4 units labeled Rectangle A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vXMF6M3gktktU2rPjvyRus4g76daqQ.svg,False,Yes,Yes,No,No,,No,Yes,Yes,No,Yes,Yes,Yes,Yes
411,4871,"tape diagram, 4 groups of 6",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uQGTNoB4uofEaLx58biMmuZ5TLs4H0.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes
414,2986,isosceles triangle with perpendicular bisector construction,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JPX8VslFqDGdcC1p8wfsUm7sSKR1do.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
416,985,"coordinate plane, rectangle above horizontal dashed line and rectangle below horizontal dashed line, mirror images",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Kutz0pDL4flaZKbAyoqf115osZN3kG.svg,True,Yes,No,Yes,Yes,,No,No,Yes,No,Yes,N/A,Yes,Yes
418,1027,4 rows of 6 dots,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Gx6mpCuE6juz37pXpgiu7Su8KcfAva.svg,False,Yes,Yes,,,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
419,2916,parallelogram with base labeled horizontally and height shown as dashed vertical line,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7CfnpEUuZRL678HWNzOoHKMMBH8yes.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
421,3936,"rectangular prism, 3 × 3 × 5, labeled dimensions",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SC52KgvKshmaoFmcbJJyiPEgPhL9Gy.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
422,1182,two identical houses,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ob0w8PkMoUaL6W15JS2BluFBidvOru.svg,False,Yes,No,,,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
424,44,"coordinate plane, triangle on left side and its mirror image on right side showing reflection",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-MdnRfopsLFKG4JId5lTnNDaGV7CHXl.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
425,2692,"coordinate plane, two lines from origin, steeper line P higher, less steep line Q lower, x-axis: time (minutes), y-axis: bottle caps",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FALyw35yCFBDxw2ZBG2DATENPL23kc.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
428,20,rectangle 12 by 5 with dotted line showing split into two equal parts,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-dpt9VfY0hCm3au1xNWasvxqrZmNJux.svg,False,Yes,No,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,Yes
429,3722,"coordinate plane with numbered x and y axes, 4th degree polynomial curve, no labels or markings on extrema points",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0Kj9S89eusvxafjZIZ60EgBpNHMB3E.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,N/A,Yes,Yes
430,977,"L-shaped figure made of two rectangular prisms, front prism 3x3x2, back prism 2x4x2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kPWoz4RLDVq3692TAIsea2Q7AF2Bnx.svg,False,Yes,Yes,No,No,,Yes,No,N/A,No,Yes,No,N/A,No
432,4837,"Hispanic heritage flags arranged in a festive banner style: Mexico, Colombia, Puerto Rico, Dominican Republic, Spain, Argentina, Peru, Cuba, Guatemala, Ecuador, Honduras, Nicaragua, Panama, Uruguay, Bolivia, Costa Rica, Venezuela, Paraguay, El Salvador",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6uZ9E0eQCcDbb7L3l192pXKeevjPHQ.svg,True,Yes,Yes,,,,No,No,N/A,No,No,N/A,N/A,No
434,2150,"number line, 26 + 17",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ri5b016SpAJwArKGCwU9WZSPP46X5H.svg,False,Yes,No,No,No,,Yes,Yes,No,No,No,Yes,No,No
437,2022,"dot plot, data points at 72, 74, 75, 76, 77, 78, 78, 79, 80, 82, tightly clustered around 77, title Class Test Scores Set 1A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cHnMtYUpc2Th4LTgckFaFkgGX7NNC2.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
439,3057,"number line, jumps of 4 seven times to reach 28",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-I56nGRl3OfjMHJNxVR8Jd3yqiNjlEU.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
440,431,"coordinate plane, line segment CD from C(-1,2) to D(3,4), rotated 180 degrees around point not on the line, showing parallel segments",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-F91aFZVedQ8koEoJt13LabzPM0OmJC.svg,False,Yes,Yes,Yes,Yes,,No,No,No,No,No,Yes,No,No
444,636,3D square pyramid with square base 6x6 and triangular height 5,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NQkFvH8vFCQoEjvtaWL1Dxw8Ksihnx.svg,False,Yes,No,Yes,Yes,,No,No,No,No,No,Yes,No,No
446,1908,"array diagram, ? rows of 4 dots, total 20",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HtsZipWENrhsYoon1lMo8rxj7Af9wS.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
447,2588,rectangle template showing 2x3 dimensions with grid lines,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-eOp8XMjZNXzE3DMsUoqScK4BdWiSQD.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
